Councils,Type,Months,Years,ESB_Connections
Fingal,County,May,2008,189
Galway,County,May,2008,177
Kerry,County,May,2008,143
Kildare,County,May,2008,170
Kilkenny,County,May,2008,81
Laois,County,May,2008,118
Leitrim,County,May,2008,77
Limerick,County,May,2008,149
Longford,County,May,2008,55
Louth,County,May,2008,85
Mayo,County,May,2008,93
Meath,County,May,2008,170
Monaghan,County,May,2008,33
North Tipperary,County,May,2008,94
Offaly,County,May,2008,103
Roscommon,County,May,2008,62
Sligo,County,May,2008,114
South Dublin,County,May,2008,153
South Tipperary,County,May,2008,59
Waterford,County,May,2008,100
Westmeath,County,May,2008,153
Wexford,County,May,2008,200
Wicklow,County,May,2008,120
Carlow,County,Jun,2008,51
Cavan,County,Jun,2008,92
Clare,County,Jun,2008,95
Cork,County,Jun,2008,483
Donegal,County,Jun,2008,174
Dun Laoghaire,County,Jun,2008,262
Fingal,County,Jun,2008,129
Galway,County,Jun,2008,112
Kerry,County,Jun,2008,132
Kildare,County,Jun,2008,132
Kilkenny,County,Jun,2008,122
Laois,County,Jun,2008,70
Leitrim,County,Jun,2008,42
Limerick,County,Jun,2008,105
Longford,County,Jun,2008,34
Louth,County,Jun,2008,90
Mayo,County,Jun,2008,172
Meath,County,Jun,2008,219
